,group,pro_inter,pro_homic,pro_maxtemp,pro_humid,pro_precip,pro_luna,total_festivos,pro_multas,pro_indexheat,out_pro_multas,out_pro_homic,out_pro_humid,out_pro_indexheat,out_pro_inter,out_pro_maxtemp,out_pro_precip
114,115,10.5714285714286,0.714285714285714,31.1428571428571,77.0,0,0.806571428571429,0,4.71428571428571,28.7136285714286,0,0,0,0,0,0,0
115,116,11.4285714285714,0.857142857142857,30.7142857142857,79.4285714285714,0,0.171,1,8.57142857142857,29.0196714285714,0,0,0,0,0,0,0
116,117,11.5714285714286,0.571428571428571,32.7142857142857,78.5714285714286,0,0.121428571428571,0,6.42857142857143,30.6284,0,0,0,0,0,0,0
117,118,10.1428571428571,0.571428571428571,34.1428571428571,80.8571428571429,0,0.689857142857143,5,5.14285714285714,32.0120857142857,0,0,0,0,0,0,0
118,119,9.28571428571429,1.0,32.4285714285714,79.1428571428571,1,0.891,3,3.28571428571429,30.7146857142857,0,0,0,0,0,0,0
119,120,9.71428571428571,1.85714285714286,32.7142857142857,78.4285714285714,1,0.284142857142857,0,4.28571428571429,31.1602428571429,0,0,0,0,0,0,0
120,121,10.0,1.85714285714286,33.2857142857143,79.0,1,0.0547142857142857,0,5.14285714285714,32.5147285714286,0,0,0,0,0,0,0
121,122,10.2857142857143,1.0,33.8571428571429,82.7142857142857,1,0.545571428571429,1,6.42857142857143,32.6932571428571,0,0,0,0,0,0,0
122,123,9.0,1.14285714285714,33.0,84.1428571428571,1,0.935857142857143,0,5.57142857142857,32.1856428571429,0,0,0,0,0,0,0
123,124,13.5714285714286,2.42857142857143,33.4285714285714,81.8571428571429,1,0.420142857142857,0,5.85714285714286,34.4625,0,1,0,0,0,0,0
124,125,11.2857142857143,0.571428571428571,33.4285714285714,82.4285714285714,1,0.0361428571428571,1,3.28571428571429,33.4709571428571,0,0,0,0,0,0,0
125,126,10.0,1.14285714285714,34.7142857142857,83.4285714285714,1,0.403428571428571,0,4.57142857142857,35.4942285714286,0,0,0,0,0,0,0
126,127,10.7142857142857,1.71428571428571,34.4285714285714,80.5714285714286,1,0.935714285714286,0,5.57142857142857,35.6475428571429,0,0,0,0,0,0,0
127,128,8.85714285714286,0.857142857142857,33.7142857142857,81.0,1,0.567571428571429,1,4.42857142857143,33.6284714285714,0,0,0,0,0,0,0
128,129,10.5714285714286,1.28571428571429,34.0,82.0,1,0.065,1,4.28571428571429,33.6291285714286,0,0,0,0,0,0,0
129,130,9.28571428571429,0.428571428571429,33.8571428571429,83.7142857142857,1,0.275857142857143,0,1.85714285714286,33.3009285714286,0,0,0,0,0,0,0
130,131,10.4285714285714,0.714285714285714,32.8571428571429,82.1428571428571,0,0.892428571428571,1,3.57142857142857,33.7662,0,0,0,0,0,0,0
131,132,7.71428571428571,0.714285714285714,33.1428571428571,81.2857142857143,0,0.710428571428571,0,2.71428571428571,33.6513142857143,0,0,0,0,0,0,0
132,133,11.2857142857143,0.714285714285714,33.8571428571429,80.4285714285714,0,0.139714285714286,0,2.28571428571429,33.8730428571429,0,0,0,0,0,0,0
133,134,9.85714285714286,1.14285714285714,33.5714285714286,77.1428571428571,0,0.171285714285714,1,2.57142857142857,33.4101428571429,0,0,0,0,0,0,0
134,135,9.85714285714286,1.57142857142857,34.0,78.7142857142857,0,0.814,0,2.28571428571429,33.8911285714286,0,0,0,0,0,0,0
135,136,10.0,0.571428571428571,34.1428571428571,81.2857142857143,1,0.832142857142857,1,2.14285714285714,33.5842285714286,0,0,0,0,0,0,0
136,137,9.28571428571429,0.285714285714286,33.7142857142857,85.7142857142857,1,0.254428571428571,0,3.0,34.4698285714286,0,0,0,0,0,0,0
137,138,7.0,1.0,33.7142857142857,84.8571428571429,1,0.129,1,3.28571428571429,33.2962428571429,0,0,0,0,0,0,0
138,139,9.42857142857143,0.285714285714286,34.2857142857143,84.5714285714286,1,0.708857142857143,0,2.57142857142857,35.1541,0,0,0,0,0,0,0
139,140,9.42857142857143,1.42857142857143,34.2857142857143,86.1428571428571,1,0.918285714285714,0,3.28571428571429,34.0316571428571,0,0,0,0,0,0,0
140,141,12.1428571428571,0.857142857142857,34.5714285714286,82.5714285714286,1,0.398428571428571,0,3.42857142857143,36.4919714285714,0,0,0,1,0,0,0
141,142,9.57142857142857,1.42857142857143,35.5714285714286,81.1428571428571,1,0.0565714285714286,0,2.14285714285714,35.4644571428571,0,0,0,0,0,0,0
142,143,11.2857142857143,0.714285714285714,34.0,86.4285714285714,1,0.584857142857143,0,2.0,34.4085,0,0,0,0,0,0,0
143,144,10.8571428571429,1.14285714285714,34.7142857142857,82.5714285714286,1,0.959,0,1.71428571428571,36.2278857142857,0,0,0,0,0,0,0
144,145,7.14285714285714,0.571428571428571,33.7142857142857,86.5714285714286,1,0.554428571428571,0,3.14285714285714,32.9589714285714,0,0,0,0,0,0,0
145,146,5.71428571428571,0.428571428571429,32.4285714285714,85.2857142857143,1,0.0621428571428571,1,2.0,31.4383857142857,0,0,0,0,0,0,0
146,147,3.57142857142857,0.857142857142857,30.5714285714286,86.1428571428571,1,0.496428571428571,0,2.42857142857143,30.6494142857143,0,0,0,0,1,1,0
147,148,3.71428571428571,0.714285714285714,32.5714285714286,81.1428571428571,1,0.950428571428571,0,1.57142857142857,32.2272428571429,0,0,0,0,1,0,0
148,149,5.28571428571429,1.14285714285714,33.0,84.8571428571429,1,0.690571428571429,1,4.57142857142857,32.9783714285714,0,0,0,0,1,0,0
149,150,6.71428571428571,1.0,33.4285714285714,79.2857142857143,0,0.116428571428571,1,3.42857142857143,34.2324428571429,0,0,0,0,0,0,0
150,151,6.71428571428571,1.57142857142857,32.5714285714286,85.0,1,0.310714285714286,0,5.42857142857143,32.3807,0,0,0,0,0,0,0
151,152,3.85714285714286,0.714285714285714,33.0,78.8571428571429,0,0.893428571428571,0,2.85714285714286,34.5121571428571,0,0,0,0,1,0,0
152,153,5.71428571428571,1.42857142857143,33.1428571428571,74.7142857142857,0,0.827857142857143,0,3.85714285714286,32.3407428571429,0,0,1,0,0,0,0
153,154,9.57142857142857,1.0,34.0,78.1428571428571,0,0.213285714285714,1,4.28571428571429,34.6951714285714,0,0,0,0,0,0,0
154,155,9.28571428571429,1.0,32.8571428571429,75.7142857142857,0,0.187142857142857,0,4.0,32.5587142857143,0,0,0,0,0,0,0
155,156,7.85714285714286,0.857142857142857,33.0,80.1428571428571,0,0.791,1,4.14285714285714,32.8012142857143,0,0,0,0,0,0,0
156,157,7.71428571428571,1.0,32.5714285714286,75.1428571428571,0,0.915571428571429,1,4.85714285714286,31.5352714285714,0,0,0,0,0,0,0
157,158,6.71428571428571,0.571428571428571,32.5714285714286,74.5714285714286,0,0.34,1,3.0,30.9374714285714,0,0,1,0,0,0,0
158,159,9.42857142857143,0.428571428571429,31.2857142857143,74.5714285714286,0,0.0942857142857143,0,2.28571428571429,28.3143428571429,0,0,1,0,0,0,0
159,160,10.5714285714286,0.714285714285714,31.8571428571429,77.7142857142857,0,0.652857142857143,0,5.0,28.5886714285714,0,0,0,0,0,0,0
160,161,6.28571428571429,0.571428571428571,31.0,76.1428571428571,0,0.957142857142857,0,3.57142857142857,29.5964428571429,0,0,0,0,0,0,0
161,162,11.0,0.857142857142857,31.8571428571429,76.7142857142857,0,0.475714285714286,1,8.57142857142857,28.8134142857143,0,0,0,0,0,0,0
162,163,12.7142857142857,1.42857142857143,32.5714285714286,74.7142857142857,0,0.0514285714285714,4,20.2857142857143,29.8138571428571,1,0,1,0,0,0,0
163,164,8.42857142857143,0.857142857142857,33.0,74.4285714285714,0,0.495714285714286,0,2.57142857142857,30.6356857142857,0,0,1,0,0,0,0
164,165,9.28571428571429,0.857142857142857,33.2857142857143,77.1428571428571,0,0.95,0,2.42857142857143,31.3884857142857,0,0,0,0,0,0,0
165,166,9.57142857142857,0.714285714285714,33.0,80.2857142857143,0,0.61,0,4.0,31.6284857142857,0,0,0,0,0,0,0
166,167,11.0,1.42857142857143,32.8571428571429,77.7142857142857,0,0.0585714285714286,0,5.57142857142857,31.7010714285714,0,0,0,0,0,0,0
167,168,10.8571428571429,0.857142857142857,32.1428571428571,76.7142857142857,0,0.338571428571429,0,4.57142857142857,31.7394428571429,0,0,0,0,0,0,0
168,169,9.57142857142857,1.0,34.0,76.5714285714286,0,0.89,5,5.85714285714286,33.7671428571429,0,0,0,0,0,0,0
169,170,12.1428571428571,0.285714285714286,34.4285714285714,76.1428571428571,0,0.729571428571429,2,1.42857142857143,32.9425571428571,0,0,0,0,0,0,0
170,171,9.71428571428571,0.571428571428571,35.1428571428571,75.8571428571429,0,0.111428571428571,0,4.85714285714286,33.8108142857143,0,0,0,0,0,0,0
171,172,14.0,0.571428571428571,35.2857142857143,77.0,0,0.201428571428571,0,11.0,33.4547,1,0,0,0,0,0,0
172,173,8.85714285714286,0.714285714285714,34.7142857142857,77.1428571428571,1,0.788571428571429,0,13.0,32.2295142857143,1,0,0,0,0,0,0
173,174,11.7142857142857,0.714285714285714,34.1428571428571,76.4285714285714,1,0.835714285714286,1,15.0,32.0606285714286,1,0,0,0,0,0,0
174,175,11.0,1.28571428571429,33.5714285714286,76.5714285714286,0,0.2,0,10.7142857142857,32.2739285714286,0,0,0,0,0,0,0
175,176,11.1428571428571,1.42857142857143,33.8571428571429,76.0,0,0.102857142857143,1,17.0,33.1005714285714,1,0,0,0,0,0,0
176,177,10.4285714285714,0.714285714285714,33.0,82.7142857142857,1,0.654285714285714,0,10.5714285714286,32.5053142857143,0,0,0,0,0,0,0
177,178,12.2857142857143,1.0,34.7142857142857,78.8571428571429,1,0.908571428571429,0,6.71428571428571,33.8759571428571,0,0,0,0,0,0,0
178,179,13.4285714285714,0.428571428571429,34.0,83.7142857142857,1,0.317142857142857,1,7.14285714285714,34.0967571428571,0,0,0,0,0,0,0
179,180,11.2857142857143,0.857142857142857,34.5714285714286,82.8571428571429,1,0.0471428571428571,1,5.28571428571429,34.3406285714286,0,0,0,0,0,0,0
180,181,11.2857142857143,2.14285714285714,34.7142857142857,82.1428571428571,1,0.508571428571429,0,5.42857142857143,34.1915428571429,0,1,0,0,0,0,0
181,182,12.2857142857143,0.428571428571429,34.1428571428571,79.5714285714286,0,0.94,0,1.28571428571429,33.1805285714286,0,0,0,0,0,0,0
